COURSE,F25_GRADE_12,F25_GRADE_10,F25_GRADE_7,F25_GRADE_4,F25_GRADE_02,F25_GRADE_00,F25_GRADE_MINUS_3,F25_PASSED,F25_FAILED,F25_ABSENT
02255,7,7,7,6,5,9,0,No data,No data,6
02256,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02258,0,0,1,1,1,1,0,No data,No data,1
02263,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02266,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02267,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02268,2,2,0,0,0,0,0,0,2,No data
02269,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02282,12,15,21,17,6,13,7,No data,No data,9
02285,18,48,57,23,8,9,0,No data,No data,2
02287,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02289,1,0,1,0,1,1,0,No data,No data,1
02291,37,69,53,20,10,4,0,No data,No data,11
02311,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02312,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02321,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02322,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02323,3,9,18,23,12,28,1,No data,No data,13
02324,16,8,22,11,0,35,0,0,3,12
02325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02326,16,16,25,19,11,30,11,No data,No data,11
02327,1,4,2,4,1,7,2,No data,No data,2
02328,0,2,2,4,2,2,7,No data,No data,2
02329,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02332,4,3,2,0,0,0,0,No data,No data,No data
02335,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02346,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02369,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02393,No data,No data,No data,No data,No data,No data,No data,39,7,5
02402,28,79,144,102,60,103,1,No data,No data,65
02403,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02405,2,3,3,1,1,3,0,No data,No data,2
02407,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02409,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02411,8,17,35,13,9,10,7,No data,No data,6
02413,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02417,52,89,47,15,7,0,2,No data,No data,15
02418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02421,9,3,4,1,0,1,3,No data,No data,No data
02425,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02427,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02428,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02429,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02431,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02435,44,27,10,10,8,3,0,No data,No data,No data
02441,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02443,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02445,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02450,45,60,117,91,36,72,12,No data,No data,39
02455,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02456,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02458,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02460,8,45,53,4,1,0,0,5,0,6
02461,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02462,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02463,14,26,19,6,2,1,0,No data,No data,9
02464,0,2,2,1,2,2,0,No data,No data,1
02465,10,20,26,12,13,10,2,No data,No data,10
02466,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02467,3,11,17,12,6,0,0,No data,No data,1
02471,1,1,2,2,0,3,0,No data,No data,1
02476,No data,No data,No data,No data,No data,No data,No data,6,0,No data
02477,23,22,23,14,15,20,6,No data,No data,22
02492,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02501,31,38,25,12,6,5,0,No data,No data,5
02502,21,53,109,10,2,3,0,No data,No data,18
02504,11,16,16,15,8,3,0,No data,No data,12
02506,7,12,20,4,4,1,0,No data,No data,2
02509,11,2,3,4,2,1,0,No data,No data,2
02510,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02516,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02517,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02525,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02526,47,33,9,5,1,1,0,No data,No data,2
02561,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02562,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02563,6,4,15,4,1,0,0,No data,No data,No data
02566,8,7,4,6,2,0,0,No data,No data,No data
02580,10,5,11,6,3,2,0,No data,No data,2
02582,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02586,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02601,47,38,29,11,4,5,0,No data,No data,11
02610,0,1,1,1,0,1,0,No data,No data,No data
02611,8,14,19,10,6,2,3,No data,No data,8
02612,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02613,56,92,125,59,18,3,0,No data,No data,12
02614,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02616,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02619,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02623,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02624,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02635,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02686,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02687,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02689,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
