COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
02624,"[0, 0, 1, 2, 5]","[0, 0, 1, 3, 4]","[0, 0, 0, 1, 7]","[0, 0, 5, 3, 0]"
02635,"[2, 4, 9, 17, 14]","[3, 5, 12, 14, 11]","[0, 4, 12, 11, 18]","[5, 10, 20, 6, 3]"
02686,,,,
02687,,,,
02689,"[0, 0, 0, 1, 9]","[0, 0, 0, 2, 8]","[0, 1, 1, 2, 6]","[0, 0, 1, 1, 8]"
02805,"[0, 3, 5, 20, 28]","[2, 3, 7, 20, 24]","[2, 5, 8, 22, 19]","[0, 11, 22, 18, 5]"
02806,,,,
02807,"[3, 4, 19, 28, 15]","[3, 6, 26, 17, 16]","[9, 15, 22, 11, 11]","[2, 12, 36, 12, 6]"
02808,,,,
02810,"[12, 17, 22, 41, 37]","[17, 15, 22, 34, 39]","[5, 16, 15, 34, 57]","[3, 9, 39, 37, 38]"
02830,"[0, 0, 0, 5, 0]","[0, 1, 0, 4, 0]","[0, 0, 1, 3, 1]","[0, 1, 3, 1, 0]"
02840,,,,
02841,,,,
02901,,,,
02910,,,,
02935,"[0, 0, 1, 2, 1]","[0, 1, 0, 2, 1]","[0, 1, 0, 2, 1]","[0, 1, 3, 0, 0]"
02946,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 2, 0, 0]"
02949,,,,
02955,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
02960,,,,
02980,,,,
02981,,,,
02982,,,,
02983,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
02984,,,,
02987,,,,
02988,,,,
02989,,,,
10031,,,,
10033,,,,
10034,,,,
10035,"[0, 0, 2, 7, 36]","[0, 0, 2, 16, 27]","[0, 0, 7, 12, 26]","[0, 7, 27, 9, 2]"
10036,"[0, 0, 1, 2, 26]","[0, 1, 6, 9, 13]","[0, 0, 2, 8, 19]","[0, 0, 10, 14, 5]"
10037,,,,
10054,,,,
10060,"[13, 53, 72, 170, 94]","[55, 74, 112, 110, 48]","[50, 92, 124, 97, 34]","[18, 72, 172, 92, 42]"
10062,,,,
10065,"[0, 0, 0, 2, 2]","[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 4, 0, 0]"
10080,,,,
10081,,,,
10102,,,,
10104,,,,
10112,"[0, 0, 2, 6, 10]","[0, 0, 8, 4, 5]","[0, 1, 3, 7, 6]","[0, 3, 3, 9, 2]"
10122,"[1, 0, 1, 6, 6]","[0, 2, 3, 3, 5]","[0, 3, 2, 5, 4]","[0, 1, 6, 5, 2]"
10200,"[0, 0, 0, 3, 3]","[0, 0, 0, 1, 5]","[0, 0, 1, 1, 3]","[0, 0, 4, 1, 1]"
10208,"[0, 1, 1, 3, 7]","[0, 3, 0, 2, 7]","[1, 1, 0, 3, 7]","[1, 4, 3, 2, 1]"
10209,,,,
10240,,,,
10255,"[0, 0, 0, 1, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]"
10260,,,,
10302,,,,
10304,,,,
10306,,,,
10314,,,,
10315,,,,
10316,"[0, 1, 2, 11, 6]","[0, 1, 3, 7, 8]","[0, 2, 6, 7, 4]","[2, 4, 10, 0, 3]"
10317,"[1, 0, 2, 9, 25]","[1, 2, 1, 17, 16]","[1, 1, 9, 16, 10]","[1, 3, 22, 8, 3]"
10319,"[0, 0, 0, 3, 2]","[0, 1, 1, 2, 1]","[1, 1, 0, 2, 1]","[0, 0, 0, 2, 3]"
10321,"[0, 0, 0, 4, 7]","[0, 2, 3, 4, 2]","[0, 0, 1, 6, 4]","[0, 0, 0, 8, 3]"
10325,"[0, 1, 0, 1, 5]","[0, 0, 0, 2, 5]","[0, 0, 1, 0, 6]","[0, 0, 6, 0, 1]"
10331,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
10333,"[0, 0, 0, 4, 7]","[0, 0, 2, 4, 5]","[0, 2, 4, 3, 2]","[0, 2, 5, 3, 1]"
10337,"[0, 1, 1, 2, 3]","[0, 0, 1, 4, 2]","[0, 0, 0, 0, 7]","[0, 3, 2, 2, 0]"
10339,"[0, 0, 1, 3, 4]","[1, 2, 3, 0, 2]","[1, 1, 2, 2, 2]","[0, 1, 7, 0, 0]"
10346,,,,
10350,,,,
10380,,,,
10384,"[0, 0, 2, 4, 18]","[0, 3, 3, 7, 11]","[0, 2, 5, 7, 10]","[0, 2, 10, 8, 4]"
10385,,,,
10386,,,,
10387,,,,
10400,"[0, 0, 3, 3, 8]","[0, 4, 1, 3, 6]","[0, 1, 4, 4, 4]","[0, 4, 6, 2, 2]"
10401,,,,
10402,,,,
10405,"[0, 0, 0, 6, 13]","[1, 2, 1, 5, 10]","[1, 3, 5, 5, 4]","[2, 3, 11, 3, 0]"
10411,,,,
10413,,,,
10414,,,,
10420,,,,
10506,,,,
10507,,,,
10508,,,,
10509,,,,
10511,,,,
10512,,,,
10514,,,,
10515,,,,
10519,"[0, 0, 0, 0, 2]","[0, 0, 0, 2, 0]","[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]"
10520,,,,
10521,,,,
10530,,,,
10540,,,,
10550,,,,
10590,"[0, 0, 0, 2, 7]","[0, 0, 0, 0, 9]","[0, 0, 3, 2, 4]","[0, 1, 5, 2, 1]"
10603,,,,
10605,"[0, 0, 2, 5, 1]","[0, 0, 2, 4, 2]","[0, 0, 0, 1, 7]","[0, 1, 6, 1, 0]"
10610,"[0, 0, 1, 4, 2]","[0, 0, 3, 3, 1]","[0, 1, 1, 2, 3]","[0, 0, 5, 2, 0]"
10720,,,,
10721,,,,
10722,,,,
10730,,,,
10731,,,,
10732,,,,
10750,"[5, 7, 6, 12, 2]","[2, 5, 7, 12, 5]","[1, 5, 8, 10, 7]","[7, 18, 4, 0, 2]"
10850,,,,
10851,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
10852,,,,
10855,"[0, 0, 0, 3, 6]","[0, 0, 0, 6, 3]","[0, 0, 0, 5, 4]","[0, 0, 2, 4, 2]"
10862,,,,
10863,"[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 2, 2, 0]"
10864,,,,
10870,"[0, 1, 1, 9, 6]","[0, 2, 1, 4, 10]","[1, 1, 4, 4, 7]","[1, 4, 10, 2, 0]"
10871,,,,
10916,"[1, 1, 9, 11, 7]","[1, 3, 11, 7, 7]","[1, 7, 4, 12, 5]","[2, 5, 10, 10, 2]"
10935,"[0, 5, 22, 14, 4]","[5, 11, 15, 12, 2]","[3, 10, 15, 11, 5]","[3, 8, 18, 9, 6]"
12000,"[0, 0, 1, 9, 21]","[0, 0, 2, 11, 18]","[1, 1, 5, 14, 10]","[0, 3, 16, 7, 5]"
12003,,,,
12100,,,,
12101,,,,
12102,"[0, 1, 6, 12, 11]","[2, 4, 8, 11, 5]","[0, 2, 5, 17, 6]","[0, 1, 12, 10, 7]"
12104,"[2, 0, 7, 30, 34]","[1, 7, 9, 36, 20]","[0, 1, 7, 28, 37]","[0, 2, 24, 30, 17]"
12105,"[85, 92, 69, 38, 10]","[112, 88, 48, 23, 14]","[47, 39, 74, 89, 35]","[35, 64, 140, 32, 15]"
12106,"[101, 89, 84, 57, 30]","[125, 84, 65, 53, 25]","[51, 58, 94, 91, 58]","[29, 64, 189, 45, 23]"
12109,"[0, 2, 5, 7, 9]","[3, 2, 5, 3, 9]","[3, 1, 5, 4, 9]","[0, 4, 10, 6, 2]"
12111,"[0, 0, 1, 5, 1]","[0, 0, 3, 4, 0]","[1, 2, 2, 0, 2]","[1, 0, 2, 4, 0]"
12115,,,,
12121,,,,
12122,"[0, 0, 0, 13, 14]","[0, 1, 1, 12, 13]","[0, 11, 4, 7, 5]","[0, 2, 10, 13, 2]"
12125,,,,
12130,"[0, 1, 1, 10, 6]","[1, 1, 2, 7, 7]","[0, 0, 8, 6, 4]","[0, 1, 5, 11, 1]"
12132,"[0, 0, 1, 4, 8]","[0, 0, 1, 1, 11]","[0, 0, 0, 4, 9]","[0, 0, 9, 4, 0]"
12134,"[0, 4, 6, 7, 2]","[3, 5, 5, 4, 1]","[0, 4, 3, 7, 4]","[1, 3, 10, 3, 0]"
12139,"[11, 12, 8, 17, 14]","[20, 8, 7, 15, 10]","[7, 7, 7, 23, 16]","[2, 6, 25, 16, 11]"
12143,,,,
12145,"[1, 0, 5, 10, 8]","[0, 2, 8, 7, 7]","[0, 3, 3, 9, 9]","[0, 3, 12, 6, 3]"
12150,,,,
12202,,,,
12203,,,,
12205,,,,
12211,,,,
12227,,,,
12228,"[0, 0, 5, 21, 16]","[0, 3, 8, 17, 14]","[0, 0, 9, 21, 12]","[1, 7, 23, 11, 0]"
12231,,,,
12237,,,,
12238,,,,
12240,"[1, 6, 6, 17, 12]","[6, 5, 3, 18, 10]","[1, 6, 5, 16, 14]","[0, 9, 19, 9, 5]"
12245,"[0, 2, 6, 14, 29]","[0, 3, 7, 12, 28]","[0, 5, 6, 13, 26]","[5, 11, 23, 5, 6]"
12250,"[0, 0, 1, 3, 2]","[0, 0, 2, 1, 3]","[0, 0, 1, 0, 5]","[1, 0, 0, 3, 2]"
12320,,,,
12330,,,,
12331,,,,
12336,"[0, 0, 1, 13, 6]","[0, 0, 5, 8, 7]","[0, 1, 1, 10, 8]","[0, 2, 11, 5, 2]"
12345,,,,
12350,"[1, 1, 3, 10, 12]","[2, 1, 4, 10, 10]","[1, 4, 8, 8, 6]","[1, 12, 11, 1, 2]"
12360,,,,
